Book 1 	 Book 2 	 Jaccard Similarity
Bible_1.txt	Frankenstein.txt	0.0
Bible_1.txt	A-Christmas-Carol.txt	0.0
Bible_2.txt	Bible_3.txt	1.6063225E-4
Bible_2.txt	Alice.txt	0.0
Bible_2.txt	Frankenstein.txt	0.0
Bible_2.txt	A-Christmas-Carol.txt	0.0
Bible_3.txt	Alice.txt	0.0
Bible_3.txt	Frankenstein.txt	0.0
Bible_3.txt	A-Christmas-Carol.txt	0.0
Alice.txt	Frankenstein.txt	0.0
Alice.txt	A-Christmas-Carol.txt	0.0
Frankenstein.txt	A-Christmas-Carol.txt	0.0
Shingle size: 13
Bible_1.txt	Bible_2.txt	2.0396976E-4
Bible_1.txt	Bible_3.txt	0.0
Bible_1.txt	Alice.txt	0.0
Bible_1.txt	Frankenstein.txt	0.0
Bible_1.txt	A-Christmas-Carol.txt	0.0
Bible_2.txt	Bible_3.txt	6.4088184E-5
Bible_2.txt	Alice.txt	0.0
Bible_2.txt	Frankenstein.txt	0.0
Bible_2.txt	A-Christmas-Carol.txt	0.0
Bible_3.txt	Alice.txt	0.0
Bible_3.txt	Frankenstein.txt	0.0
Bible_3.txt	A-Christmas-Carol.txt	0.0
Alice.txt	Frankenstein.txt	0.0
Alice.txt	A-Christmas-Carol.txt	0.0
Frankenstein.txt	A-Christmas-Carol.txt	0.0
